wordform_id,wordform,lemma_id,pos,cefr,english_gloss,tense,person,number,gender
wf_524b9286da,vieni,lem_ce5538f500,verb_form,A1,to come,present,tu,,
wf_7ed72891fc,viene,lem_ce5538f500,verb_form,A1,to come,present,lui/lei,,
wf_3d3bdd5b37,veniamo,lem_ce5538f500,verb_form,A1,to come,present,noi,,
wf_bd322c6780,venite,lem_ce5538f500,verb_form,A1,to come,present,voi,,
wf_158d351d85,vengono,lem_ce5538f500,verb_form,A1,to come,present,loro,,
wf_29870c4572,venivo,lem_ce5538f500,verb_form,A1,to come,imperfect,io,,
wf_3a19ad4869,venivi,lem_ce5538f500,verb_form,A1,to come,imperfect,tu,,
wf_67bad41d35,veniva,lem_ce5538f500,verb_form,A1,to come,imperfect,lui/lei,,
wf_b03c143ed3,venivamo,lem_ce5538f500,verb_form,A1,to come,imperfect,noi,,
wf_3a71e98f15,venivate,lem_ce5538f500,verb_form,A1,to come,imperfect,voi,,
wf_ccab6df2d9,venivano,lem_ce5538f500,verb_form,A1,to come,imperfect,loro,,
wf_2df1d83fd1,venuto,lem_ce5538f500,verb_form,A1,to come,past_participle,nan,,
wf_51b3167427,venendo,lem_ce5538f500,verb_form,A1,to come,gerund,nan,,
wf_264f58d9e3,verrò,lem_ce5538f500,verb_form,A1,to come,future,io,,
wf_ad5635d68f,verrai,lem_ce5538f500,verb_form,A1,to come,future,tu,,
wf_3afdb7c5df,verrà,lem_ce5538f500,verb_form,A1,to come,future,lui/lei,,
wf_f10c95ea4c,verremo,lem_ce5538f500,verb_form,A1,to come,future,noi,,
wf_c836b9951c,verrete,lem_ce5538f500,verb_form,A1,to come,future,voi,,
wf_dfe97e2a61,verranno,lem_ce5538f500,verb_form,A1,to come,future,loro,,
wf_8a21af4fb3,verrei,lem_ce5538f500,verb_form,A1,to come,conditional,io,,
wf_1c2d11fb5b,verresti,lem_ce5538f500,verb_form,A1,to come,conditional,tu,,
wf_96dcdbabf7,verrebbe,lem_ce5538f500,verb_form,A1,to come,conditional,lui/lei,,
wf_1335161035,verremmo,lem_ce5538f500,verb_form,A1,to come,conditional,noi,,
wf_a134dccae1,verreste,lem_ce5538f500,verb_form,A1,to come,conditional,voi,,
wf_33208d76ea,verrebbero,lem_ce5538f500,verb_form,A1,to come,conditional,loro,,
wf_c49972398b,stare,lem_519baae195,verb_form,A1,to stay / to be (state),infinitive,nan,,
wf_0579f31e29,sto,lem_519baae195,verb_form,A1,to stay / to be (state),present,io,,
wf_0fb6256dcb,stai,lem_519baae195,verb_form,A1,to stay / to be (state),present,tu,,
wf_231310a851,sta,lem_519baae195,verb_form,A1,to stay / to be (state),present,lui/lei,,
wf_e1dc08b017,stiamo,lem_519baae195,verb_form,A1,to stay / to be (state),present,noi,,
wf_f34acabea4,state,lem_519baae195,verb_form,A1,to stay / to be (state),present,voi,,
